2019/06/19 16:36:31 [emerg] 2680#11172: bind() to 0.0.0.0:80 failed (10013: An attempt was made to access a socket in a way forbidden by its access permissions)
2019/06/19 16:40:48 [emerg] 9616#10068: bind() to 0.0.0.0:80 failed (10013: An attempt was made to access a socket in a way forbidden by its access permissions)
2019/06/19 16:41:38 [emerg] 13464#1808: bind() to 0.0.0.0:80 failed (10013: An attempt was made to access a socket in a way forbidden by its access permissions)
2019/06/19 17:14:23 [error] 6248#9172: *1 CreateFile() "C:\nginx-1.17.0/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2019/06/19 17:25:44 [emerg] 8592#204: "location" directive is not allowed here in C:\nginx-1.17.0/conf/nginx.conf:62
2019/06/19 17:28:53 [emerg] 7380#8280: invalid URL prefix in C:\nginx-1.17.0/conf/nginx.conf:133
2019/06/19 17:29:10 [emerg] 8504#4660: no "events" section in configuration
2019/06/19 17:29:27 [notice] 1704#8424: signal process started
2019/06/19 17:33:01 [notice] 10880#12388: signal process started
2019/06/19 17:33:06 [error] 2908#8216: *7 CreateFile() "C:\nginx-1.17.0/html/echo" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /echo HTTP/1.1", host: "localhost"
2019/06/19 17:36:34 [emerg] 13904#13908: unexpected "}" in C:\nginx-1.17.0/conf/nginx.conf:140
2019/06/19 17:36:40 [notice] 14144#14152: signal process started
2019/06/19 21:10:24 [error] 6760#2492: *230 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://[::1]:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
2019/06/19 21:10:55 [error] 6760#2492: *230 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://127.0.0.1:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
2019/06/19 21:10:56 [error] 6760#2492: *230 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://[::1]:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
2019/06/19 21:11:27 [error] 6760#2492: *230 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://127.0.0.1:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
2019/06/19 21:11:28 [error] 6760#2492: *230 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://[::1]:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
2019/06/19 21:11:59 [error] 6760#2492: *230 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://127.0.0.1:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
2019/06/19 21:12:00 [error] 6760#2492: *230 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://[::1]:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
2019/06/19 21:12:31 [error] 6760#2492: *230 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://127.0.0.1:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
2019/06/19 21:12:32 [error] 6760#2492: *230 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://[::1]:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
2019/06/19 21:13:03 [error] 6760#2492: *230 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://127.0.0.1:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
